domain,seed,system,latency,throughput,energy,posture,switches
ENVIRONMENTAL,7,PoS,0.8719769924371736,0.6789926222663536,0.8800000000000002,0.7652885514607213,0
ENVIRONMENTAL,7,PBFT,0.8013948052900236,0.7638667000496476,0.6999999999999998,0.8897706513249407,0
ENVIRONMENTAL,7,PoA,0.854698964665748,0.7808415156063065,0.9299999999999998,0.7045050068231006,0
ENVIRONMENTAL,7,DPoS,0.7281371241919786,0.8063037389412947,0.8599999999999999,0.7791387322665924,0
ENVIRONMENTAL,8,CDACF,0.8691497180606241,0.6810020278290646,0.8774799999999999,0.7359231962595297,1
ENVIRONMENTAL,8,PoW,0.9994151949486835,0.38232243228682006,0.08,0.7648924562595298,0
ENVIRONMENTAL,8,PoS,0.870554678322027,0.679684324065458,0.8800000000000002,0.7628108605561793,0
ENVIRONMENTAL,8,PBFT,0.8003324422416024,0.7646448645736401,0.6999999999999998,0.8857971060556759,0
ENVIRONMENTAL,8,PoA,0.8533124456430538,0.7816369726752767,0.9299999999999998,0.7016610662595297,0
ENVIRONMENTAL,8,DPoS,0.7280257953725109,0.8071251348277313,0.8599999999999999,0.776491049429342,0
ENVIRONMENTAL,9,CDACF,0.8707342245169044,0.6812792390973011,0.8774799999999999,0.7361993088426809,1
ENVIRONMENTAL,9,PoW,0.9991777506883592,0.38248537190353255,0.08,0.7651685688426809,0
ENVIRONMENTAL,9,PoS,0.8721147354644863,0.6799739944951689,0.8800000000000002,0.7630004262273584,0
ENVIRONMENTAL,9,PBFT,0.801324972057737,0.7649707438070651,0.6999999999999998,0.885698858304567,0
ENVIRONMENTAL,9,PoA,0.8547847090947344,0.7819700936694443,0.9299999999999998,0.7018867788426808,0
ENVIRONMENTAL,9,DPoS,0.7277070154262876,0.8074691184630131,0.8599999999999999,0.7764164661612324,0
ENVIRONMENTAL,10,CDACF,0.865473996751912,0.6817028915188188,0.8774799999999999,0.7378096217518316,1
ENVIRONMENTAL,10,PoW,0.9995895670668089,0.38272312208171694,0.08,0.7670145017518314,0
ENVIRONMENTAL,10,PoS,0.8668225193680343,0.6803966614786079,0.8800000000000002,0.7645725802546617,0
ENVIRONMENTAL,10,PBFT,0.7967940777768686,0.7654462441634339,0.6999999999999998,0.8881735780044169,0
ENVIRONMENTAL,10,PoA,0.8496196463286045,0.7824561607003991,0.9299999999999998,0.7036816817518314,0
ENVIRONMENTAL,10,DPoS,0.7245320390567626,0.8079710355058468,0.8599999999999999,0.7780200571970408,0
ENVIRONMENTAL,11,CDACF,0.8666251929118496,0.6808661937357886,0.8774799999999999,0.7366175384016367,1
ENVIRONMENTAL,11,PoW,0.9989685465564981,0.38225095281864985,0.08,0.7656796184016369,0
ENVIRONMENTAL,11,PoS,0.8679898265797443,0.6795572494553774,0.8800000000000002,0.7634491192051928,0
ENVIRONMENTAL,11,PBFT,0.7977342577027127,0.7645019056372997,0.6999999999999998,0.8867128184920214,0
ENVIRONMENTAL,11,PoA,0.850701126146936,0.7814908368736841,0.9299999999999998,0.7023593984016367,0
ENVIRONMENTAL,11,DPoS,0.724998570603545,0.8069742337282607,0.8599999999999999,0.7769427215073922,0
ENVIRONMENTAL,12,CDACF,0.8704530943322297,0.6827156019488559,0.8774799999999999,0.739461281214292,1
ENVIRONMENTAL,12,PoW,0.999283413240777,0.3832920214509081,0.08,0.7688676769516314,0
ENVIRONMENTAL,12,PoS,0.8718171386826334,0.6814080381349478,0.8800000000000002,0.7662703630790354,0
ENVIRONMENTAL,12,PBFT,0.8011705113256367,0.7665840429018163,0.6999999999999998,0.8902791670407735,0
ENVIRONMENTAL,12,PoA,0.8545850205703357,0.78361924385519,0.9299999999999998,0.7055286412142919,0
ENVIRONMENTAL,12,DPoS,0.7269732003389272,0.8091720452852506,0.8599999999999999,0.7798292759831706,0
ENVIRONMENTAL,13,CDACF,0.8701095995948764,0.6811811538626041,0.8774799999999999,0.7364120592036133,1
ENVIRONMENTAL,13,PoW,0.9993141862153984,0.38242627903907456,0.08,0.7654295200387511,0
ENVIRONMENTAL,13,PoS,0.871458362797862,0.6798689405139103,0.8800000000000002,0.7632293565827798,0
ENVIRONMENTAL,13,PBFT,0.8009253335346743,0.7648525580781491,0.6999999999999998,0.886264433537937,0
ENVIRONMENTAL,13,PoA,0.8541800849897081,0.781849281590997,0.9299999999999998,0.7022257392036134,0
ENVIRONMENTAL,13,DPoS,0.7273265287022802,0.8073443668602686,0.8599999999999999,0.7768194611494357,0
ENVIRONMENTAL,14,CDACF,0.8725763740516347,0.6812540562771263,0.8774799999999999,0.7379683487235675,1
ENVIRONMENTAL,14,PoW,0.9992373034165348,0.3824683182201359,0.08,0.7672024246532838,0
ENVIRONMENTAL,14,PoS,0.873974063157367,0.679943676835797,0.8800000000000002,0.7648487460357974,0
ENVIRONMENTAL,14,PBFT,0.8030759178331941,0.7649366364402718,0.6999999999999998,0.8884659849124487,0
ENVIRONMENTAL,14,PoA,0.8566271914189476,0.7819352283611666,0.9299999999999998,0.7039233587235674,0
ENVIRONMENTAL,14,DPoS,0.7297268502567804,0.8074331162425089,0.8599999999999999,0.7784670677862484,0
ENVIRONMENTAL,15,CDACF,0.8733029734249766,0.6817538781122354,0.8774799999999999,0.7388851015387501,1
