sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,72,1072,PBFT,0.519,11,0.8378947980152494,0.7291004243376477,0.7791003562315196,0.8572001482509373,0.7402043791704016,0.7963633463069673,PoS,0.986,1,0.7601288663354856,0.7315074024363295,0.783370922068843,0.8606853071147204,0.741763141743485,0.800484581239522
0.05,73,1073,PBFT,0.438,14,0.8089898477025208,0.6810509441184397,0.7678362248769774,0.8741885277544951,0.6975208220391728,0.7647788771151318,PoS,0.986,1,0.7440201065238661,0.681410572138213,0.7704245259402632,0.8766198137526203,0.6970554148285254,0.7669411752943294
0.05,74,1074,PBFT,0.396,11,0.7732855790880424,0.7385961413012986,0.7528745614693245,0.8515853059967903,0.7242223637013808,0.777730841640998,PoS,0.986,1,0.7286986775751502,0.7403772106042047,0.7551417430184114,0.8543945527077413,0.7249617896638716,0.7813923724934034
0.05,75,1075,PBFT,0.489,10,0.8529527127905856,0.7669331474075095,0.7568672241531441,0.8958428864916128,0.732031949030579,0.7930850459640303,PoS,0.986,1,0.7314470659283384,0.7675021550213412,0.7580747904886679,0.8962588980535495,0.731224997917072,0.795261223206546
0.05,76,1076,PBFT,0.445,8,0.8088039300886911,0.7972594505304441,0.8094049773550123,0.8672492351869799,0.6776098476768823,0.7718498393257743,PoS,0.986,1,0.7974017688406565,0.799497605403379,0.8119096577189187,0.8688470839283662,0.6773063663298965,0.7747484228541094
0.05,77,1077,PBFT,0.751,7,0.8378634195431557,0.7616355668850212,0.6887187898455353,0.8982265372656434,0.6200681801195876,0.7622418265987083,PoS,0.986,1,0.6648406063406656,0.7604117928383288,0.6878977612594696,0.896829488656387,0.6174244588449544,0.7622519968200038
0.05,78,1078,PBFT,0.557,11,0.8932144731853826,0.769702405684508,0.8167643323431028,0.9024207457182776,0.6873798951956692,0.8047585799459055,PoS,0.986,1,0.807760665079966,0.7716998804050936,0.8199547613623225,0.9043688563762688,0.6876819600304145,0.808078348601244
0.05,79,1079,PoS,0.447,8,0.8206893616605345,0.7975420037955395,0.7850826083423174,0.8889715453154347,0.7765684736027625,0.7727052032082801,PoS,0.986,1,0.7661943645864512,0.8003466207368142,0.7882791452046289,0.8917784223368128,0.7770292159535174,0.7758944573925693
0.05,80,1080,PoS,0.586,8,0.8321653355059657,0.8018284061925571,0.8028630676744745,0.8796175383055445,0.6922711256079674,0.7757191020364963,PoS,0.986,1,0.7825478684614154,0.7978590998443241,0.7995907091635504,0.8739248445119138,0.6861860068333641,0.7731589770934189
0.05,81,1081,PBFT,0.555,7,0.7953797732476442,0.7633548018156396,0.7105783980328046,0.8915686001214917,0.6774561253992424,0.7520470418576229,PoS,0.986,1,0.6849671191531125,0.7611042949645594,0.7091556694779034,0.8887391857222209,0.6737605158537062,0.7508414030524176
